CTE;Status;Empresa A;Empresa B;Motorista A;Motorista B;Dif Empresa;Dif Motorista;Maior Diferença;Margem B;Página A;Página B
1752;OK por arredondamento;23919.0;23919.0;24839.65;24839.88;0.0;-0.23;0.23;;1.0;1.0
1753;Divergente;12892.5;12892.5;13388.62;12892.5;0.0;496.12;496.12;;1.0;1.0
1754;OK;1860.0;1860.0;1931.61;1931.61;0.0;0.0;0.0;;1.0;1.0
1755;OK por arredondamento;13562.1;13562.1;14083.99;14084.24;0.0;-0.25;0.25;;1.0;1.0
1756;OK;12278.4;12278.4;12751.12;12751.12;0.0;0.0;0.0;;1.0;1.0
1757;OK por arredondamento;23898.6;23898.6;24818.93;24818.7;0.0;0.23;0.23;;1.0;1.0
1758;OK;9451.2;9451.2;9815.07;9815.07;0.0;0.0;0.0;;1.0;1.0
1759;OK;12139.2;12139.2;12606.56;12606.56;0.0;0.0;0.0;;1.0;1.0
1760;OK;5988.8;5988.8;6219.37;6219.37;0.0;0.0;0.0;;1.0;3.0
1761;OK por arredondamento;12857.4;12857.4;13352.65;13352.41;0.0;0.24;0.24;;1.0;1.0
1762;OK;17596.8;17596.8;18274.28;18274.28;0.0;0.0;0.0;;1.0;1.0
1763;OK;7907.2;7907.2;8211.63;8211.63;0.0;0.0;0.0;;1.0;1.0
1764;OK;12196.8;12196.8;12666.38;12666.38;0.0;0.0;0.0;;1.0;1.0
1765;OK por arredondamento;13230.0;13230.0;13739.6;13739.36;0.0;0.24;0.24;;1.0;1.0
1766;OK;7662.4;7662.4;7957.4;7957.4;0.0;0.0;0.0;;1.0;1.0
1767;OK;7678.4;7678.4;7974.02;7974.02;0.0;0.0;0.0;;1.0;1.0
1769;OK por arredondamento;8044.4;8044.4;8354.35;8354.11;0.0;0.24;0.24;;1.0;1.0
1770;OK;7603.2;7603.2;7895.92;7895.92;0.0;0.0;0.0;;1.0;1.0
1771;OK;12172.8;12172.8;12641.45;12641.45;0.0;0.0;0.0;;1.0;1.0
1772;OK;7723.2;7723.2;8020.54;8020.54;0.0;0.0;0.0;;1.0;1.0
1773;OK;13456.8;13456.8;13974.89;13974.89;0.0;0.0;0.0;;1.0;1.0
1774;OK por arredondamento;13211.1;13211.1;13719.97;13719.73;0.0;0.24;0.24;;1.0;2.0
1775;OK;7668.8;7668.8;7964.05;7964.05;0.0;0.0;0.0;;1.0;2.0
1777;OK;23481.6;23481.6;24385.64;24385.64;0.0;0.0;0.0;;1.0;2.0
1778;OK;12091.2;12091.2;12556.71;12556.71;0.0;0.0;0.0;;1.0;2.0
1779;OK;8923.2;8923.2;9266.74;9266.74;0.0;0.0;0.0;;1.0;2.0
1780;OK;6056.0;6056.0;6289.16;6289.16;0.0;0.0;0.0;;1.0;2.0
1781;OK;4214.4;4214.4;4376.65;4376.65;0.0;0.0;0.0;;1.0;2.0
1782;OK por arredondamento;18188.8;18188.8;18889.25;18889.07;0.0;0.18;0.18;;1.0;2.0
1783;OK por arredondamento;24327.0;24327.0;25263.83;25263.59;0.0;0.24;0.24;;1.0;2.0
1784;OK;11832.0;11832.0;12287.53;12287.53;0.0;0.0;0.0;;1.0;2.0
1786;OK;7724.8;7724.8;8022.2;8022.2;0.0;0.0;0.0;;1.0;2.0
1787;OK por arredondamento;9730.8;9730.8;10105.62;10105.44;0.0;0.18;0.18;;1.0;2.0
1788;OK por arredondamento;25195.8;25195.8;26166.1;26165.84;0.0;0.26;0.26;;1.0;2.0
1789;OK;11212.8;11212.8;11644.49;11644.49;0.0;0.0;0.0;;1.0;2.0
1790;OK;7753.6;7753.6;8052.11;8052.11;0.0;0.0;0.0;;1.0;2.0
1791;OK;18038.6;18038.6;18733.09;18733.09;0.0;0.0;0.0;;1.0;3.0
1792;OK por arredondamento;13321.8;13321.8;13834.94;13834.69;0.0;0.25;0.25;;1.0;2.0
1793;OK;6081.6;6081.6;6315.74;6315.74;0.0;0.0;0.0;;1.0;2.0
1794;OK;18137.4;18137.4;18835.69;18835.69;0.0;0.0;0.0;;1.0;2.0
1795;OK;7609.6;7609.6;7902.57;7902.57;0.0;0.0;0.0;;1.0;2.0
1796;OK;13255.2;13255.2;13765.53;13765.53;0.0;0.0;0.0;;1.0;2.0
1797;OK por arredondamento;19903.5;19903.5;20669.56;20669.78;0.0;-0.22;0.22;;1.0;3.0
1799;OK por arredondamento;14585.1;14585.1;15146.51;15146.63;0.0;-0.12;0.12;;1.0;3.0
1800;OK por arredondamento;23326.1;23326.1;24223.91;24224.15;0.0;-0.24;0.24;;1.0;3.0
1801;OK;11642.4;11642.4;12090.63;12090.63;0.0;0.0;0.0;;1.0;3.0
1802;OK por arredondamento;23333.8;23333.8;24231.91;24232.15;0.0;-0.24;0.24;;1.0;3.0
1803;OK por arredondamento;14481.4;14481.4;15038.82;15038.93;0.0;-0.11;0.11;;1.0;3.0
1804;OK;11661.6;11661.6;12110.57;12110.57;0.0;0.0;0.0;;1.0;3.0
1805;OK;5639.6;5639.6;5856.72;5856.72;0.0;0.0;0.0;;1.0;3.0
1806;OK;13244.0;13244.0;13753.89;13753.89;0.0;0.0;0.0;;1.0;3.0
1807;OK;17232.0;17232.0;17895.43;17895.43;0.0;0.0;0.0;;1.0;3.0
1809;OK por arredondamento;23377.9;23377.9;24278.19;24277.95;0.0;0.24;0.24;;1.0;3.0
1810;OK;17347.2;17347.2;18015.07;18015.07;0.0;0.0;0.0;;1.0;3.0
1811;OK por arredondamento;19119.8;19119.8;19855.72;19855.91;0.0;-0.19;0.19;;1.0;3.0
1812;OK;17347.2;17347.2;18015.07;18015.07;0.0;0.0;0.0;;1.0;3.0
1813;OK por arredondamento;24490.2;24490.2;25432.82;25433.07;0.0;-0.25;0.25;;1.0;3.0
1814;OK por arredondamento;24176.6;24176.6;25107.65;25107.4;0.0;0.25;0.25;;1.0;3.0
1815;OK;17596.8;17596.8;18274.28;18274.28;0.0;0.0;0.0;;1.0;3.0
1816;OK;17308.8;17308.8;17975.19;17975.19;0.0;0.0;0.0;;2.0;3.0
1817;OK;17462.4;17462.4;18134.7;18134.7;0.0;0.0;0.0;;2.0;4.0
1818;Divergente;20966.34;20966.34;21727.17;21773.54;0.0;-46.37;46.37;;2.0;4.0
1819;OK por arredondamento;13740.3;13740.3;14269.05;14269.3;0.0;-0.25;0.25;;2.0;4.0
1820;OK por arredondamento;10024.33;10024.33;10410.32;10410.27;0.0;0.05;0.05;;2.0;4.0
1821;OK por arredondamento;10024.33;10024.33;10410.32;10410.27;0.0;0.05;0.05;;2.0;4.0
1822;OK;20248.8;20248.8;21028.38;21028.38;0.0;0.0;0.0;;2.0;4.0
1823;OK por arredondamento;12887.1;12887.1;13383.01;13383.25;0.0;-0.24;0.24;;2.0;4.0
1824;OK por arredondamento;10013.95;10013.95;10399.55;10399.49;0.0;0.06;0.06;;2.0;4.0
1825;OK por arredondamento;10013.95;10013.95;10399.55;10399.49;0.0;0.06;0.06;;2.0;4.0
1826;OK por arredondamento;13567.5;13567.5;14090.1;14089.85;0.0;0.25;0.25;;2.0;4.0
1827;OK por arredondamento;2096.1;2096.1;2176.68;2176.8;0.0;-0.12;0.12;;2.0;4.0
1828;OK por arredondamento;9862.48;9862.48;10242.24;10242.19;0.0;0.05;0.05;;2.0;4.0
1830;OK;11174.4;11174.4;11604.61;11604.61;0.0;0.0;0.0;;2.0;4.0
1831;OK por arredondamento;9862.48;9862.48;10242.24;10242.19;0.0;0.05;0.05;;2.0;4.0
1832;OK por arredondamento;7896.0;7896.0;8200.26;8200.0;0.0;0.26;0.26;;2.0;4.0
1833;OK;17164.8;17164.8;17825.64;17825.64;0.0;0.0;0.0;;2.0;4.0
1835;OK;13000.0;13000.0;13500.5;13500.5;0.0;0.0;0.0;;2.0;4.0
1836;OK;13000.0;13000.0;13500.5;13500.5;0.0;0.0;0.0;;2.0;4.0
1837;OK por arredondamento;5014.8;5014.8;5207.75;5207.87;0.0;-0.12;0.12;;2.0;4.0
1838;OK;13015.6;13015.6;13516.7;13516.7;0.0;0.0;0.0;;2.0;4.0
1840;OK;12152.4;12152.4;12620.27;12620.27;0.0;0.0;0.0;;2.0;8.0
1841;Divergente;8434.14;8434.14;8242.46;8758.85;0.0;-516.39;516.39;;2.0;5.0
1842;OK por arredondamento;13354.2;13354.2;13868.58;13868.34;0.0;0.24;0.24;;2.0;5.0
1844;Divergente;5823.0;5823.0;5667.72;6047.19;0.0;-379.47;379.47;;2.0;5.0
1845;Divergente;2132.1;2132.1;2013.65;2214.19;0.0;-200.54;200.54;;2.0;5.0
1846;Divergente;1412.1;1412.1;1333.65;1466.47;0.0;-132.82;132.82;;2.0;5.0
1847;OK por arredondamento;23006.5;23006.5;23892.5;23892.25;0.0;0.25;0.25;;2.0;5.0
1848;OK;11222.4;11222.4;11654.46;11654.46;0.0;0.0;0.0;;2.0;5.0
1849;OK;12120.0;12120.0;12586.62;12586.62;0.0;0.0;0.0;;2.0;5.0
1850;OK;12206.4;12206.4;12676.35;12676.35;0.0;0.0;0.0;;2.0;5.0
1851;OK;12134.4;12134.4;12601.57;12601.57;0.0;0.0;0.0;;2.0;5.0
1852;OK;12182.4;12182.4;12651.42;12651.42;0.0;0.0;0.0;;2.0;5.0
1853;OK;12211.2;12211.2;12681.33;12681.33;0.0;0.0;0.0;;2.0;5.0
1854;OK;12177.6;12177.6;12646.44;12646.44;0.0;0.0;0.0;;2.0;5.0
1855;OK;12268.8;12268.8;12741.15;12741.15;0.0;0.0;0.0;;2.0;5.0
1856;OK;12148.8;12148.8;12616.53;12616.53;0.0;0.0;0.0;;2.0;5.0
1857;OK por arredondamento;22809.1;22809.1;23687.49;23687.25;0.0;0.24;0.24;;2.0;5.0
1858;OK por arredondamento;10786.5;10786.5;11201.98;11201.78;0.0;0.2;0.2;;2.0;5.0
